icao24,origin_country,velocity,on_ground
3c65ae,Germany,155.5,False
ac21f5,United States,70.63,False
accd69,United States,246.22,False
c02e8f,Canada,189.21,False
a7257e,United States,81.75,False
ab649a,United States,232.43,False
a9656c,United States,48.64,False
4b187a,Switzerland,213.32,False
3455d7,Spain,164.7,False
440248,Austria,237.89,False
3455d9,Spain,206.16,False
4b1885,Switzerland,198.91,False
3c65c2,Germany,227.75,False
3c65c1,Germany,232.12,False
ae0110,United States,147.72,False
4acb59,Sweden,211.83,False
a05776,United States,254.41,False
adf41a,United States,187.49,False
4b1882,Switzerland,188.98,False
0d0af7,Mexico,247.13,False
a6f23d,United States,271.67,False
ac1afa,United States,272.82,False
3c5ee8,Germany,244.54,False
e8021a,Chile,252.64,False
3c5ee7,Germany,168.69,False
3c5ee6,Germany,211.97,False
3c5ee5,Germany,180.83,False
86d6ac,Japan,9.26,True
0d0aef,Mexico,224.82,False
a09db5,United States,258.25,False
4bc8cd,Turkey,135.42,False
4bc8ce,Turkey,195.01,False
4bc8cb,Turkey,126.18,False
3c65d4,Germany,204.26,False
acd481,United States,173.79,False
80168a,India,202.71,False
4bc8cc,Turkey,148.76,False
3c65c7,Germany,11.83,True
a94b2b,United States,131.91,False
3c65c9,Germany,227.62,False
acd486,United States,192.28,False
a915de,United States,0.0,True
ad41cd,United States,199.86,False
3c5ee2,Germany,203.66,False
3c5ef8,Germany,244.56,False
3c65ce,Germany,187.26,False
80169e,India,143.53,False
0d11f9,Mexico,221.37,False
46b82d,Greece,250.36,False
a94b48,United States,260.88,False
46b82b,Greece,247.02,False
46b82c,Greece,190.25,False
ae2790,United States,51.35,False
3c5eeb,Germany,210.86,False
a5d28e,United States,74.6,False
3c65d7,Germany,74.6,False
c0226c,Canada,188.8,False
3c65d6,Germany,2.83,True
3c65d5,Germany,208.85,False
3c5ef0,Germany,208.49,False
e492cf,Brazil,233.33,False
3c65cc,Germany,68.53,False
a1c767,United States,53.83,False
a1c764,United States,52.89,False
ae61de,United States,154.4,False
a1b42f,United States,187.18,False
a5824e,United States,109.63,False
46b831,Greece,167.07,False
c07bbe,Canada,186.77,False
46b832,Greece,195.55,False
a94b0a,United States,10.29,True
0c4184,Dominican Republic,172.08,False
aa30c3,United States,75.74,False
0c4185,Dominican Republic,231.85,False
a1a110,United States,221.79,False
a22dce,United States,45.51,False
a33aa7,United States,266.61,False
a4ab61,United States,147.55,False
a2cd24,United States,121.69,False
aab9c4,United States,177.38,False
a58267,United States,184.35,False
a354a8,United States,157.75,False
ab1612,United States,96.2,False
acd47e,United States,236.37,False
a52bfb,United States,232.41,False
a83e3b,United States,78.83,False
a101c3,United States,209.38,False
a1ad44,United States,221.31,False
a70b2f,United States,193.24,False
46b823,Greece,191.96,False
a808f3,United States,259.1,False
a114ed,United States,253.66,False
46b826,Greece,195.91,False
aa099e,United States,202.5,False
440237,Austria,258.95,False
a90eab,United States,109.55,False
a6fe6b,United States,34.75,False
a915a9,United States,43.38,False
a82b43,United States,56.44,False
a14a18,United States,59.54,False
aa3ce7,United States,265.35,False
c02e94,Canada,171.75,False
4acb5a,Sweden,8.23,True
c01b4f,Canada,255.01,False
0d0ac8,Mexico,220.67,False
44022d,Austria,3.6,True
44022b,Austria,14.92,True
a247f0,United States,259.15,False
a02a46,United States,195.49,False
a57b8b,United States,200.31,False
47880f,Norway,145.86,False
aa43c4,United States,83.33,False
a0dab2,United States,2.31,True
0d11b4,Mexico,232.2,False
a69b87,United States,203.76,False
aa56f7,United States,243.9,False
a8a82f,United States,59.16,False
ac2f37,United States,189.48,False
3c65a1,Germany,219.44,False
ae0178,United States,228.16,False
a08acb,United States,229.06,False
a88bad,United States,283.42,False
a29748,United States,213.66,False
a7cee6,United States,83.53,False
a1775f,United States,214.59,False
e80201,Chile,211.41,False
ae016d,United States,186.01,False
c082c2,Canada,135.16,False
a8a847,United States,163.05,False
a4ab90,United States,142.31,False
a7bbb2,United States,249.65,False
a6fe73,United States,237.25,False
a091fd,United States,246.73,False
ac971f,United States,87.11,False
a39d83,United States,65.37,False
c0482a,Canada,247.74,False
a65426,United States,32.93,False
ad67b0,United States,83.32,False
a77412,United States,43.78,False
ac9723,United States,154.33,False
a4c4aa,United States,105.58,False
733074,Islamic Republic of Iran,240.76,False
a2e77a,United States,50.16,False
c03517,Canada,237.18,False
a617e9,United States,69.49,False
a38a50,United States,66.31,False
a71dc2,United States,120.28,False
ace718,United States,234.71,False
a41447,United States,147.11,False
343194,Spain,219.66,False
aa4421,United States,46.53,False
a737c7,United States,271.25,False
ab774b,United States,246.7,False
a3e11b,United States,59.66,False
aaf4a5,United States,302.38,False
c0481b,Canada,188.63,False
4a09b2,Romania,132.78,False
ad0725,United States,227.15,False
8014ad,India,200.95,False
a4d7ec,United States,174.48,False
8014ae,India,150.23,False
a2d446,United States,68.17,False
a54786,United States,80.69,False
a52d5d,United States,57.1,False
a00929,United States,252.86,False
a39113,United States,271.51,False
accd10,United States,221.12,False
4aca84,Sweden,92.78,False
4aca83,Sweden,148.21,False
4aca86,Sweden,1.8,True
4aca85,Sweden,205.87,False
a64d4d,United States,213.91,False
accd18,United States,206.81,False
4aca89,Sweden,186.35,False
a65449,United States,230.56,False
a091f3,United States,225.76,False
4aca7a,Sweden,89.01,False
800da2,India,228.68,False
a3ed89,United States,226.46,False
a6a41f,United States,46.66,False
a0e1c6,United States,168.82,False
a4aac8,United States,181.1,False
a64d53,United States,176.68,False
a234e6,United States,39.67,False
a91700,United States,223.37,False
c02207,Canada,239.6,False
a9529a,United States,62.78,False
a1b449,United States,222.77,False
4aca90,Sweden,202.73,False
4aca93,Sweden,245.92,False
4aca92,Sweden,92.12,False
4aca95,Sweden,209.92,False
4aca94,Sweden,220.4,False
4aca96,Sweden,167.74,False
c81d8e,New Zealand,168.13,False
4aca99,Sweden,211.47,False
a3ed96,United States,88.62,False
a234ef,United States,241.24,False
ac7103,United States,99.19,False
a03179,United States,232.06,False
c0483e,Canada,230.61,False
34448d,Spain,216.05,False
a4aad3,United States,267.88,False
a78754,United States,46.91,False
800db5,India,118.43,False
ac47de,United States,146.02,False
4aca8f,Sweden,229.12,False
4aca8e,Sweden,254.35,False
a53473,United States,36.83,False
c8246f,New Zealand,63.79,False
344498,Spain,165.28,False
a38a0f,United States,186.49,False
8014e4,India,71.14,False
a3f401,United States,160.47,False
a6f28c,United States,180.84,False
3d386c,Germany,36.53,False
a27197,United States,213.28,False
a39173,United States,236.29,False
a2ba7e,United States,245.28,False
ad54c0,United States,35.5,False
8014da,India,190.59,False
adb7c1,United States,37.13,False
ac6a24,United States,33.63,False
471f8e,Hungary,257.02,False
3c65da,Germany,193.21,False
7c1c95,Australia,74.91,False
a16fb5,United States,109.55,False
4400f3,Austria,239.81,False
758337,Philippines,301.78,False
accd23,United States,167.08,False
758335,Philippines,241.49,False
344481,Spain,144.45,False
8014f7,India,183.45,False
8014f8,India,149.89,False
a40d8d,United States,210.28,False
8014f2,India,73.57,False
4400eb,Austria,228.04,False
ac7115,United States,116.58,False
4520d0,Bulgaria,105.51,False
a39d9b,United States,216.71,False
abb440,United States,204.18,False
e492aa,Brazil,229.35,False
471f9a,Hungary,236.44,False
471f9e,Hungary,160.7,False
ad54cc,United States,47.82,False
a94b72,United States,107.77,False
758303,Philippines,104.02,False
8014c1,India,216.86,False
4520fb,Bulgaria,189.58,False
8014c4,India,268.85,False
adf422,United States,39.85,False
516097,Montenegro,183.31,False
ae2761,United States,65.93,False
a617bf,United States,224.15,False
a65408,United States,271.11,False
a594a2,United States,172.63,False
471f81,Hungary,258.7,False
471f86,Hungary,118.32,False
471f87,Hungary,170.97,False
a65405,United States,0.06,True
a594a6,United States,74.34,False
a94b6b,United States,205.93,False
a64d16,United States,208.29,False
